project,event_kind,event_label,event_date,metric_name,baseline,immediate,sustained,trend_pct_per_day,counterfactual_immediate,counterfactual_sustained,immediate_lift_pct,sustained_lift_pct,robust_z,zero_baseline,classification,confounded,pre_days_available,post_days_available,sustain_days_available,notes,control_projects_used,control_projects_skipped,control_immediate_lift_pct,control_sustained_lift_pct,did_immediate_lift_pct,did_sustained_lift_pct,did_notes
tiangolo/fastapi,release,0.16.0,2019-04-16,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.17.0,2019-04-20,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.18.0,2019-04-22,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.19.0,2019-04-26,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.20.0,2019-04-27,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.20.1,2019-05-11,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.21.0,2019-05-15,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.22.0,2019-05-16,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.23.0,2019-05-21,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.24.0,2019-05-24,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
